player,total_runs,balls_faced,strike_rate
Sameer Rizvi,51,43,118.6
Swapnil Singh,51,46,110.87
R Rampaul,51,52,98.08
KB Arun Karthik,51,53,96.23
OF Smith,51,50,102.0
Shivam Mavi,51,58,87.93
VR Aaron,50,73,68.49
RV Gomez,50,53,94.34
AS Yadav,49,40,122.5
SB Bangar,49,58,84.48
A Nortje,49,51,96.08
AG Paunikar,49,61,80.33
T Kohler-Cadmore,48,54,88.89
M Markande,48,44,109.09
Yashpal Singh,47,67,70.15
DR Sams,44,48,91.67
D Pretorius,44,28,157.14
Sunny Singh,43,31,138.71
PVD Chameera,43,32,134.38
SK Trivedi,42,61,68.85
AB Barath,42,43,97.67
Azmatullah Omarzai,42,34,123.53
Avesh Khan,41,25,164.0
A Nehra,41,63,65.08
BR Dunk,40,36,111.11
J Yadav,40,38,105.26
Rasikh Salam,40,40,100.0
LPC Silva,40,27,148.15
DJ Thornely,39,54,72.22
Umar Gul,39,19,205.26
MM Patel,39,41,95.12
AUK Pathan,39,26,150.0
S Nadeem,39,88,44.32
S Narwal,37,29,127.59
YS Chahal,37,89,41.57
KW Richardson,36,39,92.31
AN Ahmed,36,27,133.33
Anureet Singh,36,47,76.6
Joginder Sharma,36,30,120.0
L Balaji,36,50,72.0
Sohail Tanvir,36,31,116.13
M Ashwin,35,50,70.0
B Sumanth,35,38,92.11
A Kumble,35,49,71.43
L Ronchi,34,37,91.89
S Sreesanth,34,57,59.65
AP Dole,34,23,147.83
A Mithun,34,26,130.77
Imran Tahir,33,37,89.19
Navdeep Saini,33,38,86.84
SB Dubey,33,21,157.14
D Salunkhe,33,24,137.5
Ravi Bishnoi,32,52,61.54
Basil Thampi,32,37,86.49
RJ Peterson,32,32,100.0
AT Carey,32,29,110.34
S Sriram,31,38,81.58
T Taibu,31,26,119.23
NS Naik,31,53,58.49
VH Zol,29,26,111.54
J Syed Mohammad,29,27,107.41
Arshdeep Singh,29,42,69.05
SB Jakati,28,30,93.33
AS Joseph,27,32,84.38
JM Kemp,26,25,104.0
AS Rajpoot,26,41,63.41
AS Roy,26,24,108.33
DJ Malan,26,26,100.0
MD Shanaka,26,26,100.0
NL McCullum,26,23,113.04
TL Seifert,26,26,100.0
PJ Sangwan,26,47,55.32
AB Dinda,26,50,52.0
Mohsin Khan,25,27,92.59
CV Varun,25,49,51.02
S Chanderpaul,25,33,75.76
A Choudhary,25,20,125.0
Sanvir Singh,25,22,113.64
Tanush Kotian,24,32,75.0
MA Khote,24,22,109.09
KC Cariappa,24,21,114.29
ER Dwivedi,24,15,160.0
AJ Turner,24,31,77.42
BMAJ Mendis,23,27,85.19
J Arunkumar,23,24,95.83
Umran Malik,23,16,143.75
AF Milne,23,31,74.19
SW Tait,23,26,88.46
P Dubey,23,33,69.7
KL Nagarkoti,22,34,64.71
Yudhvir Singh,22,16,137.5
SA Abbott,22,18,122.22
GB Hogg,22,22,100.0
AU Rashid,22,17,129.41
HE van der Dussen,22,25,88.0
B Indrajith,21,31,67.74
DE Bollinger,21,23,91.3
TU Deshpande,21,15,140.0
NJ Maddinson,20,21,95.24
M Muralitharan,20,30,66.67
C Sakariya,20,31,64.52
AC Thomas,20,19,105.26
RR Raje,20,18,111.11
S Kaul,20,36,55.56
Akash Deep,19,12,158.33
JR Hazlewood,19,29,65.52
P Ray Barman,19,25,76.0
R Shukla,19,23,82.61
Y Gnaneswara Rao,19,18,105.56
P Sahu,19,13,146.15
R Bishnoi,19,17,111.76
A Mukund,19,23,82.61
Gulbadin Naib,19,15,126.67
DR Martyn,19,26,73.08
NT Ellis,19,26,73.08
JJ van der Wath,18,17,105.88
Naveen-ul-Haq,18,26,69.23
Sumit Kumar,18,26,69.23
Saurav Chauhan,18,16,112.5
T Banton,18,22,81.82
BJ Haddin,18,11,163.64
KMA Paul,18,26,69.23
DS Lehmann,18,19,94.74
Harmeet Singh,18,12,150.0
PV Tambe,18,39,46.15
JA Richardson,17,27,62.96
Parvez Rasool,17,20,85.0
PP Ojha,16,45,35.56
YV Dhull,16,23,69.57
AJ Hosein,16,11,145.45
KS Sharma,16,25,64.0
CK Kapugedera,16,24,66.67
JL Pattinson,15,13,115.38
C Madan,15,21,71.43
GR Napier,15,16,93.75
I Udana,15,11,136.36
SD Lad,15,13,115.38
Virat Singh,15,26,57.69
A Zampa,15,25,60.0
VY Mahesh,15,28,53.57
G Coetzee,14,22,63.64
Vijaykumar Vyshak,14,13,107.69
FA Allen,14,19,73.68
MDKJ Perera,14,13,107.69
